"","102_Diseased","103_Diseased","108_Diseased","138_Diseased","154_Diseased","172_Diseased","196_Diseased","146_Healthy","147_Healthy","148_Healthy","159_Healthy","160_Healthy","161_Healthy","162_Healthy"
"NP_036870",16.8678184766164,17.234475367902,18.3052114243933,18.223276098264,17.3999072074444,18.7714100408591,17.2138316224946,16.1747862294282,16.421858545338,17.1785158307014,16.2418843818607,16.1360817903057,16.4660749315389,15.2238889447486
"NP_037001",12.9597778622649,12.6511187980061,13.1984068115901,13.4291666735956,13.199593130086,12.6052475902456,12.6034842840373,13.2017252850421,12.132713118753,13.2684311995684,13.1718835992258,12.9977229213072,12.9665014284454,12.9105500866333
"NP_037030",16.6791562459246,16.3003449128702,17.0120718877598,16.9959881435109,16.8540748058989,16.8014792280868,16.5792145790378,17.1329958405045,16.1529592218988,17.8897955887627,17.1821581910883,16.8299439191905,16.6307518258886,16.8768739178947
"NP_037244",14.5012942276493,12.7375112336738,14.2809465876444,14.9457337715747,15.0972094617804,15.1088025374434,13.7842801907033,13.7792620128788,13.4232273617405,15.1295432322395,13.9268324857859,14.3359385453524,13.1173172819484,13.7947440186728
"NP_058690",13.5144258980933,11.7214899095215,12.8006203068466,12.4945527593429,13.0224690741526,11.921574429208,13.3422678580859,12.5875839509326,9.92991319766954,13.7822340890466,13.1256677665445,12.6945642030946,11.5490389658676,12.4298752667512
"NP_058716",11.6559489335355,11.5245713895547,11.6244620891088,12.3549223603399,12.1208850630998,12.0779898651023,11.5940228951946,14.6771532361159,13.8152234977238,14.4976421735673,14.4615569631015,14.533205709966,13.8720841597752,13.8660959418935
"NP_062016",16.0408505019093,14.8820129456414,15.712700966732,16.1243353241608,15.8865245192396,15.1124439794656,16.0718685977774,15.022264161525,14.2074031273326,15.9343760519377,15.6305583672646,14.8883818624727,14.7382765054224,15.0180681120303
"NP_062212",12.1017500480441,11.9478040048135,12.0903752749357,12.5968574775506,12.3821002403551,12.534224387056,11.9418420773031,12.7065158104174,11.9052240460238,13.0882812712451,12.7824193928719,12.800273516743,12.5792572268447,12.6002432321307
"NP_062242",18.3084556518229,16.3229162430611,16.6327866147222,18.0736037123703,18.1064699640476,17.4388054996463,17.6491861823979,15.3900923450081,14.6831810626315,16.6292210378399,16.2176550040026,15.3767813406748,15.2202161051659,15.4450683675873
"NP_075213",16.9534019166223,16.3868792179692,16.5921818158614,17.2699408485574,16.9209065179636,17.0728738970955,16.7528697536865,15.7408706001142,15.4520114623882,16.7776449148936,16.3889175867221,15.8158137195811,15.7703740249838,15.8478467689286
"NP_113692",17.9189712991974,16.0779820948936,16.3912650761243,17.4346537372189,17.562635418641,16.6364615485889,17.4452276611793,16.1404124436234,15.2033488185073,16.7510583588318,16.7383788466778,16.0762986894976,15.5969807216436,15.8780386774202
"NP_150641",10.4875559074111,11.6797504470486,11.647267160275,12.0713497741551,12.0050443239743,11.7312856894624,11.9734753925824,15.0402449591532,13.8997169740226,14.6205271729398,14.4273718536173,14.6690571719094,13.9754256656092,13.8826842666613
"NP_444180",17.0812233312087,16.2587323928734,17.1124804498862,17.8103775159751,17.5684023865994,17.2514180016192,17.2085034752079,16.5838706703699,16.2705008832106,17.1333050866741,16.8644503469349,16.48233280806,16.3577951247792,15.8028826040154
"NP_445770",17.741123873532,15.1155209232675,15.8751946355647,16.5223107234322,17.1100365284564,15.6644693779871,17.5658881809183,14.7743684644262,13.1315780314196,16.5138037232099,15.667857264417,14.864215420372,14.5647752831227,14.8390770421787
"NP_446290",13.3015820713644,13.8132783699311,13.923049482125,14.2637020852758,13.7813860455952,14.0904154638011,13.5381408976544,13.8031913973576,13.3196577152515,14.0833813451279,14.1331919070012,13.8281638209231,13.5157473151993,13.3968009293963
"NP_476487",18.9380405800212,18.2932284947906,18.482803757166,19.1996648586947,19.1675261154908,18.8105591623181,19.2711221082804,17.3157666646137,16.6053602896065,17.8478083283317,17.9653713629214,17.3423826448004,17.1603088521416,17.011796478239
"NP_602308",13.8774816051741,12.3762213799489,13.1741603194123,13.3324575578869,13.1830012469117,13.0978003620913,13.0216134069394,12.8907129647911,11.6041819773714,13.5425598170388,12.8873363448112,12.0603312065645,11.6916187038194,11.9329126247613
"NP_620183",19.0494832777704,19.0331998842315,19.3781761472786,20.428424711546,19.5961704898838,20.1122753013036,19.4574851860582,18.4126940915812,18.1532038960775,19.5762091113436,18.7987813893456,18.1966360015548,18.4970431871703,18.1303245398856
"NP_665722",18.8049282739814,17.4265515591641,17.9520140520907,18.5777936083921,18.288124878637,18.1660161167485,18.446958040531,17.1401877163627,16.7695176475963,18.2518756257801,17.7565863401485,17.2436648821511,17.0036785385233,17.0690448491419
"NP_758823",16.1671650868216,16.5630647419569,17.0681659900761,16.5616174873566,15.8701807384071,16.8604331225627,16.5533939877023,17.185973982529,16.1862126011629,18.2647071639374,17.576266461154,17.155599223504,17.0267991710534,17.1626885507374
"NP_872279",12.9652546273462,12.5716218066429,12.9806233211989,13.2505965270369,13.2381885924884,13.1986102498193,13.0245590652563,13.3169182737122,12.321318803533,13.8427922019462,13.3543719697802,13.0412685666787,12.9571363186737,12.9909007128427
"NP_872280",15.3369934419672,17.3136109571623,17.9141556532196,16.3986581283616,14.2315944195538,16.7498821805296,17.9273510846889,18.1396659334706,17.1324085348988,19.0880999462033,18.2317647204417,17.902708286309,17.7747344383089,18.3204924996452
"S",17.9850815634682,18.1160461647751,17.9073138890198,18.0985673971363,18.2021219446076,18.3845530153375,18.1741211949617,18.2288712300655,17.9819361883365,17.478207368034,17.4190399506152,17.1599958585053,16.9405551734973,16.7823849017112
"XP_001053003",16.9082627401027,15.8821083467522,16.412474109333,17.2257199104259,16.3858992231201,16.6482642248055,16.5903891979806,15.0093878013549,14.2823832703344,16.15327828748,15.3852263285024,15.6649267859607,14.8931267067191,15.1767109285238
"XP_001057320",17.4463135625597,16.4717788385521,16.8803401268964,17.0377418593411,16.8839303621813,17.1220639873442,16.7432241724901,16.6498652947152,15.6551774298606,17.5271246029772,16.8392278592096,16.4045284114201,16.3968500973716,16.535150087781
"XP_001066264",13.6112574336111,13.7695149799927,14.034956172437,14.3840578805076,14.1244276514809,14.2774630147574,13.6760180790213,14.2069572422518,13.6533255468974,14.3614376871254,14.2819719405988,13.9174618217678,13.9070991452964,13.8516911312133
"XP_001067936",14.3041488287737,13.5399668728667,14.1102605955791,14.6986598841982,14.2123558990448,14.2041828989968,13.9987008284828,13.6558010765241,13.2046460488356,14.6812561814275,14.146544065658,13.7396443078362,13.4610290147661,13.5921842079187
"XP_001068814",13.6826719207002,13.5177491660176,13.8590002879396,14.3234436917971,13.4543060200703,13.5929485281406,13.9177367604991,14.1335192424623,13.0638741156349,14.4517824250298,14.4486830088137,13.9950220068205,13.9455082499004,13.9693401358335
"XP_216782",14.9924750342076,13.8643618856935,14.7097840057794,14.5218727436523,14.5352556611147,14.1429519096751,14.7282532343371,14.8685658569274,13.8019528275197,15.6609439347103,14.9075828019472,14.5792311574257,14.4115157641394,14.6625253457003
